,Unnamed: 0,country,description,points,price,province,title,variety,description_preprocessed
19,19,US,"Red fruit aromas pervade on the nose, with cigar box and menthol notes riding in the back. The palate is slightly restrained on entry, but opens up to riper notes of cherry and plum specked with crushed pepper. This blend of Merlot, Cabernet Sauvignon and Cabernet Franc is approachable now and ready to be enjoyed.",87,32.0,Virginia,Quiévremont 2012 Meritage (Virginia),Meritage,red fruit aromas pervade nose cigar box menthol note ride back palate slightly restrain entry open riper note cherry plum speck crush pepper blend merlot cabernet sauvignon cabernet franc approachable ready enjoy
20,20,US,"Ripe aromas of dark berries mingle with ample notes of black pepper, toasted vanilla and dusty tobacco. The palate is oak-driven in nature, but notes of tart red currant shine through, offering a bit of levity.",87,23.0,Virginia,Quiévremont 2012 Vin de Maison Red (Virginia),Red Blend,ripe aromas dark berries mingle ample notes black pepper toast vanilla dusty tobacco palate oak - drive nature note tart red currant shine offer bit levity
21,21,US,"A sleek mix of tart berry, stem and herb, along with a hint of oak and chocolate, this is a fair value in a widely available, drink-now Oregon Pinot. The wine oak-aged for six months, whether in neutral or re-staved is not indicated.",87,20.0,Oregon,Acrobat 2013 Pinot Noir (Oregon),Pinot Noir,sleek mix tart berry stem herb along hint oak chocolate fair value widely available drink - now oregon pinot wine oak - aged six month whether neutral re - stave indicate
22,22,Italy,"Delicate aromas recall white flower and citrus. The palate offers passion fruit, lime and white peach with a hint of mineral alongside bright acidity.",87,19.0,Sicily & Sardinia,Baglio di Pianetto 2007 Ficiligno White (Sicilia),White Blend,delicate aromas recall white flower citrus palate offer passion fruit lime white peach hint mineral alongside bright acidity
23,23,US,"This wine from the Geneseo district offers aromas of sour plums and just enough cigar box to tempt the nose. The flavors are a bit flat at first, then the acidity and tension of sour cherries emerges in the midpalate, bolstered by some black licorice.",87,22.0,California,Bianchi 2011 Signature Selection Merlot (Paso Robles),Merlot,wine geneseo district offer aromas sour plum enough cigar box tempt nose flavor bite flat first acidity tension sour cherry emerge midpalate bolster black licorice
24,24,Italy,"Aromas of prune, blackcurrant, toast and oak carry through to the extracted palate, along with flavors of black cherry and roasted coffee beans. Firm but drying tannins provide the framework.",87,35.0,Sicily & Sardinia,Canicattì 2009 Aynat Nero d'Avola (Sicilia),Nero d'Avola,aromas prune blackcurrant toast oak carry extract palate along flavors black cherry roasted coffee bean firm dry tannin provide framework
25,25,US,"Oak and earth intermingle around robust aromas of wet forest floor in this vineyard-designated Pinot that hails from a high-elevation site. Small in production, it offers intense, full-bodied raspberry and blackberry steeped in smoky spice and smooth texture.",87,69.0,California,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,oak earth intermingle around robust aroma wet forest floor vineyard - designate pinot hail high - elevation site small production offer intense full - bodied raspberry blackberry steep smoky spice smooth texture
26,26,Italy,"Pretty aromas of yellow flower and stone fruit lead the nose. The bright palate offers yellow apple, apricot, vanilla and delicate notes of lightly toasted oak alongside crisp acidity.",87,13.0,Sicily & Sardinia,Stemmari 2013 Dalila White (Terre Siciliane),White Blend,pretty aromas yellow flower stone fruit lead nose bright palate offer yellow apple apricot vanilla delicate note lightly toast oak alongside crisp acidity
27,27,Italy,"Aromas recall ripe dark berry, toast and a whiff of cake spice. The soft, informal palate offers sour cherry, vanilla and a hint of espresso alongside round tannins. Drink soon.",87,10.0,Sicily & Sardinia,Stemmari 2013 Nero d'Avola (Terre Siciliane),Nero d'Avola,aromas recall ripe dark berry toast whiff cake spice soft informal palate offer sour cherry vanilla hint espresso alongside round tannin drink soon
28,28,Italy,"Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins.",87,17.0,Sicily & Sardinia,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),Red Blend,aroma suggest mature berry scorch earth animal toast anise palate offer ripe black berry oak espresso cocoa vanilla alongside dusty tannin
29,29,US,"Clarksburg is becoming a haven for Chenin Blanc in California. This bottling, using fruit sourced from several vineyards in the area, is balanced with just a trace of sweetness in the background (1% residual sugar). This is crisp, straightforward and blessed with notes of pear and lime. Drink it cold.",86,16.0,California,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),Chenin Blanc,clarksburg become chenin blanc california bottle use fruit source several vineyard area balance trace sweetness background 1 residual sugar crisp straightforward bless note pear lime drink cold
30,30,France,"Red cherry fruit comes laced with light tannins, giving this bright wine an open, juicy character.",86,,Beaujolais,Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages),Gamay,red cherry fruit come laced light tannin give bright wine open juicy character
31,31,Italy,"Merlot and Nero d'Avola form the base for this easy red wine that would pair with fettuccine and meat sauce or pork roast. The quality of the fruit is clean, bright and sharp.",86,,Sicily & Sardinia,Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia),Red Blend,merlot nero d'avola form base easy red wine would pair fettuccine meat sauce pork roast quality fruit clean bright sharp
32,32,Italy,"Part of the extended Calanìca series, this Grillo-Viognier blend shows aromas of honeysuckle and jasmine, backed by touches of cut grass and wild sage. In the mouth, it shows ripe yellow-fruit flavors.",86,,Sicily & Sardinia,Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia),White Blend,part extend calanìca series grillo - viognier blend show aromas honeysuckle jasmine back touch cut grass wild sage mouth show ripe yellow - fruit flavor
33,33,US,"Rustic and dry, this has flavors of berries, currants, licorice and spices. Made from Cabernet Franc and Cabernet Sauvignon.",86,50.0,California,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),Red Blend,rustic dry flavor berry currant licorice spice make cabernet franc cabernet sauvignon
34,34,US,"This shows a tart, green gooseberry flavor that is similar to New Zealand Sauvignon Blanc. Other notes include tropical fruit, orange and honey. Unoaked, with a splash of Muscat, this has commendable dryness and acidity.",86,20.0,California,Envolve 2011 Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,show tart green gooseberry flavor similar new zealand sauvignon blanc note include tropical fruit orange honey unoaked splash muscat commendable dryness acidity
35,35,US,"As with many of the Erath 2010 vineyard designates, this is strongly herbal. The notes of leaf and herb create somewhat unripe flavor impressions, with a touch of bitterness on the finish. The fruit just passes the ripeness of sweet tomatoes.",86,50.0,Oregon,Erath 2010 Hyland Pinot Noir (McMinnville),Pinot Noir,many erath 2010 vineyard designate strongly herbal note leaf herb create somewhat unripe flavor impression touch bitterness finish fruit pass ripeness sweet tomato
36,36,Chile,"White flower, lychee and apple aromas carry the mellow bouquet. The chunky-feeling palate bears powdery, sweet flavors of peach and melon, mixed with greener notes of grass and lime. The 80% Viognier component is typical of the warm climate: plump and oily, with a short finish. Chardonnay fills out the blend.",86,15.0,Colchagua Valley,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),Viognier-Chardonnay,white flower lychee apple aroma carry mellow bouquet chunky - feel palate bear powdery sweet flavor peach melon mixed greener note grass lime 80 viognier component typical warm climate plump oily short finish chardonnay fill blend
37,37,Italy,"This concentrated Cabernet offers aromas of cured meat, dried fruit and rosemary. Barbecue spice and teriyaki sauce flavors give the wine a bold, chewy feel.",86,21.0,Sicily & Sardinia,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),Cabernet Sauvignon,concentrate cabernet offer aromas cure meat dry fruit rosemary barbecue spice teriyaki sauce flavor give wine bold chewy feel
38,38,Italy,"Inky in color, this wine has plump aromas of ripe fruit, blackberry jam and rum cake. On the palate, it is soft and smooth.",86,11.0,Southern Italy,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),Primitivo,inky color wine plump aroma ripe fruit blackberry jam rum cake palate soft smooth
39,39,Italy,"Part of the natural wine movement, this wine is made from organic grapes, and the label is printed with vegetable ink on recycled paper. The quality of fruit is very nice, with a juicy palate and a bright berry flavor on the finish.",86,12.0,Sicily & Sardinia,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),Nero d'Avola,part natural wine movement wine make organic grape label print vegetable ink recycle paper quality fruit nice juicy palate bright berry flavor finish
40,40,Italy,"Catarratto is one of Sicily's most widely farmed white grape varieties. This expression shows a mineral note, backed by citrus and almond blossom touches.",86,17.0,Sicily & Sardinia,Feudo Montoni 2011 Catarratto (Sicilia),Catarratto,catarratto one sicily widely farm white grape variety expression show mineral note back citrus almond blossom touch
41,41,US,"A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins.",86,22.0,Oregon,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,stiff tannic wine slowly open bring brambly berry flavor play along note earthy herb touch bitterness tannin
42,42,France,"This is a festive wine, with soft, ripe fruit and acidity, plus a red berry flavor.",86,9.0,Beaujolais,Henry Fessy 2012 Nouveau  (Beaujolais),Gamay,festive wine soft ripe fruit acidity plus red berry flavor
43,43,US,"The clean, brisk mouthfeel gives this slightly oaked Sauvignon Blanc instant likeability. It's dry with a rich streak of honey that sweetens the citrus, pear and tropical fruit flavors. Pair this with Asian fare, ham or a green salad with grapefruit sections.",86,14.0,California,Robert Hall 2011 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,clean brisk mouthfeel give slightly oake sauvignon blanc instant likeability dry rich streak honey sweeten citru pear tropical fruit flavor pair asian fare ham green salad grapefruit section
44,44,Chile,"A berry aroma comes with cola and herb notes. The palate is tangy and racy, and it delivers raspberry and plum flavors, with a modest finish.",86,9.0,Maule Valley,Sundance 2011 Merlot (Maule Valley),Merlot,berry aroma come cola herb notes palate tangy racy deliver raspberry plum flavor modest finish
45,45,US,"Right out of the starting blocks this is an oaky wine, dripping with caramel and vanilla notes. The texture on the midpalate is finessed and graceful, with drying tannins that latch onto the oak-driven finish. An eccentric blend of 50% Tannat, 35% Petit Verdot and 15% Pinotage.",86,40.0,Virginia,Tarara 2010 #SocialSecret Red (Virginia),Red Blend,right start block oaky wine drip caramel vanilla note texture midpalate finesse graceful dry tannin latch onto oak - drive finish eccentric blend 50 tannat 35 petit verdot 15 pinotage
46,46,Italy,"Spicy, fresh and clean, this would pair with fried seafood or spaghetti con vongole. It offers pretty citrus tones followed by a drying mineral nuance.",86,13.0,Sicily & Sardinia,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),Inzolia,spicy fresh clean would pair fried seafood spaghetti con vongole offer pretty citrus tone follow dry mineral nuance
47,47,US,"This is a sweet wine with flavors of white sugar, orange, honey and vanilla, all brightened by crisp acidity.",86,13.0,California,The White Knight 2011 Riesling (Lake County),Riesling,sweet wine flavor white sugar orange honey vanilla brighten crisp acidity
48,48,US,"This bottling resembles the New Zealand paradigm of Sauvignon Blanc, bearing aromas of grapefruit, passion fruit and kiwi; a sprinkling of graham cracker adds interest. The wine hits the palate like a fleshy fist, with an intense, grassy gooseberry flavor that provides plenty of punch. Pair with apricot-glazed roasted chicken.",86,16.0,Virginia,Trump 2011 Sauvignon Blanc (Monticello),Sauvignon Blanc,bottle resemble new zealand paradigm sauvignon blanc bear aroma grapefruit passion fruit kiwi sprinkling graham cracker add interest wine hit palate like fleshy fist intense grassy gooseberry flavor provide plenty punch pair apricot - glaze roasted chicken
49,49,France,"Soft and fruity, this is a generous, ripe wine that's full of juicy red-cherry fruits and gentle tannins. It has some richness, giving a sweet character to this open, ready-to-drink wine.",86,14.0,Beaujolais,Vignerons de Bel Air 2011 Eté Indien  (Brouilly),Gamay,soft fruity generous ripe wine full juicy red - cherry fruit gentle tannin richness give sweet character open ready - to - drink wine
50,50,Italy,"This blend of Nero d'Avola and Syrah opens with savory aromas of cured meat, dried berry, cassis, tobacco and wet earth. There's a touch of almond bitterness on the finish.",86,,Sicily & Sardinia,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),Red Blend,blend nero d'avola syrah open savory aromas cure meat dry berry cassis tobacco wet earth touch almond bitterness finish
51,51,Chile,"This is much different than Casa Silva's 2009 Petit Verdot, which was tasted in the same flight. The '08 is more hard, spicy and tarry, with a leafy, herbal aroma, plus some grittiness. The palate feels snappy, with a can't-miss saltiness. The finish is long in length but short on fruit, with a raw feel.",85,22.0,Colchagua Valley,Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),Petit Verdot,much different casa silva 2009 petit verdot taste flight hard spicy tarry leafy herbal aroma plus grittiness palate feel snappy can't - miss saltiness finish long length short fruit raw feel
52,52,Italy,"The Monica grape often shows a rustic or raw quality, with aromas of cherry cola, black pepper and sour fruit. This expression does just that, with an added touch of bright acidity on the finish.",85,14.0,Sicily & Sardinia,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),Monica,monica grape often show rustic raw quality aromas cherry cola black pepper sour fruit expression add touch bright acidity finish
53,53,France,"Fruity and lightly herbaceous, this has fine textured acidity along with a pink grapefruit flavor. The wine is bright and easy, and it will be ready to drink in a few months.",85,15.0,Bordeaux,Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),Bordeaux-style White Blend,fruity lightly herbaceous fine texture acidity along pink grapefruit flavor wine bright easy ready drink month
54,54,Italy,"A blend of Nero d'Avola and Nerello Mascalese, this delivers forest berry and cola, with blue flower and dusty mineral accents. The palate is easy, bright and lean.",85,,Sicily & Sardinia,Corvo 2010 Rosso Red (Sicilia),Red Blend,blend nero d'avola nerello mascalese deliver forest berry cola blue flower dusty mineral accent palate easy bright lean
55,55,US,"This shows jelly-like flavors of orange and pear, with some earthy tones. The mouthfeel is soft and there's a bounty of oak in the form of buttered toast and caramel notes.",85,30.0,California,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),Chardonnay,show jelly - like flavor orange pear earthy tone mouthfeel soft bounty oak form butter toast caramel note
56,56,US,"This is weighty, creamy and medium to full in body. It has plenty of lime and pear flavors, plus slight brown sugar and vanilla notes.",85,14.0,California,Souverain 2010 Chardonnay (North Coast),Chardonnay,weighty creamy medium full body plenty lime pear flavor plus slight brown sugar vanilla note
57,57,Italy,"There's a touch of toasted almond at the start, but then this Grillo revs up in the glass to deliver notes of citrus, stone fruit, crushed stone and lemon tart. The mouthfeel is crisp and simple.",85,13.0,Sicily & Sardinia,Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia),Grillo,touch toast almond start grillo revs glass deliver notes citrus stone fruit crush stone lemon tart mouthfeel crisp simple
58,58,Chile,"Lightly herbal strawberry and raspberry aromas are authentic and fresh. On the palate, this is light and juicy, with snappy, lean flavors of red fruit and dry spice. The finish is dry and oaky.",85,13.0,Maipo Valley,Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),Pinot Noir,lightly herbal strawberry raspberry aromas authentic fresh palate light juicy snappy lean flavor red fruit dry spice finish dry oaky
59,59,US,"Aromas of cranberry, barrel spice and herb are followed by tart cranberry flavors with grainy tannins. It falls a bit flat and the variety seems hard to discern.",86,55.0,Washington,Mellisoni 2014 Malbec (Columbia Valley (WA)),Malbec,aromas cranberry barrel spice herb follow tart cranberry flavor grainy tannin fall bit flat variety seem hard discern
60,60,US,"Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.",86,100.0,California,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,syrupy dense wine jammy plum vanilla indeterminate structure plenty oak ripe full - bodied accent graphite leather
61,61,Italy,This densely hued wine has aromas of black plum and vanilla that carry over to the simple palate along with a touch of cedar. Pliant tannins give it an easygoing nature. Drink soon.,86,17.0,Central Italy,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,densely hue wine aromas black plum vanilla carry simple palate along touch cedar pliant tannin give easygoing nature drink soon
62,62,US,"The aromas are brooding, with notes of barrel spice and cherry. The flavors are tart and elegant in style, with lightly gritty tannins backing them up. Best suited to the dinner table.",86,25.0,Washington,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,aromas brood note barrel spice cherry flavor tart elegant style lightly gritty tannin back well suited dinner table
63,63,France,"This fat, yeasty Champagne is comprised predominantly of Pinot Noir. It has ripe red berry fruit, light acidity and a soft, creamy aftertaste. It's ready to drink.",86,58.0,Champagne,Roland Champion NV Brut Rosé  (Champagne),Champagne Blend,fat yeasty champagne comprise predominantly pinot noir ripe red berry fruit light acidity soft creamy aftertaste ready drink
64,64,US,"There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors.",86,26.0,California,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,intriguing touch nose bottle jasmine sea salt wet hay quinine rainy sidewalk structure sip quite delicate golden apple honey flavor
65,65,France,"From the warm 2015 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.",86,24.0,Burgundy,Simonnet-Febvre 2015  Chablis,Chardonnay,warm 2015 vintage soft fruity wine open broad white fruit flavor acidity light usual chablis give particularly ripe character drink
66,66,France,"This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.",86,15.0,Burgundy,Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,Chardonnay,soft rounded wine ripe generous pear melon flavor easy ready drink young smooth attractively ripe character
67,67,US,"A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.",86,46.0,Washington,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,blend merlot cabernet franc wine bring disjoint lightly volatile aromas wood spice vanilla cherry plump cherry flavor round woody barrel note
68,68,US,"Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.",86,12.0,California,Cocobon 2014 Red (California),Red Blend,deep color spicy - smoky flavor full - bodied wine pack dark - fruit flavor like blackberry blueberry aroma like grill beef spicy flavor like cardamom smoke give bold character hard deny
69,69,France,"This cooperative, based in Aÿ, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink.",86,55.0,Champagne,Collet NV Brut Rosé  (Champagne),Champagne Blend,cooperative base aÿ benefit fine pinot noir village produce ripe red fruit wine balanced acidity soft aftertaste ready drink
70,70,US,"Aromas of vanilla, char and toast lead to light creamy stone fruit and canned-corn flavors. It provides appeal but the oak seems overweighted.",86,12.0,Washington,Drumheller 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,aromas vanilla char toast lead light creamy stone fruit can - corn flavor provide appeal oak seem overweighte
71,71,US,"Big oak defines this robustly dense and extracted red, swimming in vanilla and cherry flavor. Full-bodied and gravelly in texture, it's a rustically pleasant wine for pizza nights and crowds.",86,40.0,California,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,big oak define robustly dense extract red swimming vanilla cherry flavor full - bodied gravelly texture rustically pleasant wine pizza night crowd
72,72,Italy,"Aromas of black-skinned fruit, leather, underbrush, game and a briny note all carry over to the lean, somewhat disjointed palate along with suggestions of licorice and raw red cherry. Grainy tannins leave a drying finish.",86,32.0,Southern Italy,Grifalco 2013 Daginestra  (Aglianico del Vulture),Aglianico,aromas black - skin fruit leather underbrush game briny note carry lean somewhat disjoint palate along suggestion licorice raw red cherry grainy tannin leave dry finish
73,73,US,"Juicy plum, raspberry and pencil lead lead the way in this vineyard designate, a site that's 2,000 feet high. Tobacco and cedar meet a full-bodied hit of oak and puckering tannin, the wine still youthfully wrapped in its full-bodied boldness.",86,75.0,California,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,"juicy plum raspberry pencil lead lead way vineyard designate site 2,000 foot high tobacco cedar meet full - bodied hit oak pucker tannin wine still youthfully wrap full - bodied boldness"
74,74,US,This is the producer's first release of this wine. Fruity aromas of plum and tart cranberry add to its overall sense of lightness and understatement.,86,55.0,California,Hindsight 2012 Estate Grown Petite Sirah (Calistoga),Petite Sirah,producer first release wine fruity aromas plum tart cranberry add overall sense lightness understatement
75,75,US,"This is made from equal parts Cabernet Franc and Merlot, with small additions of Malbec. Juicy, it reveals a raisiny quality of ripeness around integrated oak and generous tannin.",86,75.0,California,Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),Bordeaux-style Red Blend,make equal part cabernet franc merlot small addition malbec juicy reveal raisiny quality ripeness around integrated oak generous tannin
